sim_section,start_date,end_date,min_days,top_n_alpha,rebalance,rebalance_count,portfolio_returns,index_returns
1.7,10/02/2020,13/02/2025,400,470,Quarterly,20,81.6829678,111.0813112
1.7,10/02/2020,13/02/2025,400,470,Semi-Annual,10,135.4728715,111.0813112
1.7,10/02/2020,13/02/2025,400,470,Annual,5,174.0312049,111.0813112
1.7,10/02/2020,13/02/2025,400,470,No,0,187.6228612,111.0813112
1.7,10/02/2019,13/02/2025,400,470,Quarterly,24,102.2035113,119.0854833
1.7,10/02/2019,13/02/2025,400,470,Semi-Annual,12,169.5367592,119.0854833
1.7,10/02/2019,13/02/2025,400,470,Annual,6,211.2118695,119.0854833
1.7,10/02/2019,13/02/2025,400,470,No,0,208.1381738,119.0854833
1.7,10/02/2018,13/02/2025,400,470,Quarterly,28,84.20997342,125.3420344
1.7,10/02/2018,13/02/2025,400,470,Semi-Annual,14,147.019593,125.3420344
1.7,10/02/2018,13/02/2025,400,470,Annual,7,195.3758497,125.3420344
1.7,10/02/2018,13/02/2025,400,470,No,0,188.3038417,125.3420344
1.7,10/02/2017,13/02/2025,400,470,Quarterly,32,129.2586876,166.2822855
1.7,10/02/2017,13/02/2025,400,470,Semi-Annual,16,214.1638008,166.2822855
1.7,10/02/2017,13/02/2025,400,470,Annual,8,272.8292428,166.2822855
1.7,10/02/2017,13/02/2025,400,470,No,0,249.7999089,166.2822855
1.7,10/02/2016,13/02/2025,400,470,Quarterly,36,197.9833819,238.4089342
1.7,10/02/2016,13/02/2025,400,470,Semi-Annual,18,298.3127164,238.4089342
1.7,10/02/2016,13/02/2025,400,470,Annual,9,386.5832531,238.4089342
1.7,10/02/2016,13/02/2025,400,470,No,0,376.7418359,238.4089342
