Date,Close,High,Low,Open,Volume
2021-08-31,17132.19922,17153.5,16915.84961,16947.5,464400
2021-09-30,17618.15039,17742.15039,17585.34961,17718.90039,378600
2021-10-31,17671.65039,17915.84961,17613.09961,17833.05078,336500
2021-11-30,16983.19922,17324.65039,16931.40039,17051.15039,498000
2021-12-31,17354.05078,17400.80078,17238.5,17244.5,167000
2022-01-31,17339.84961,17410,17264.15039,17301.05078,321700
2022-02-28,16793.90039,16815.90039,16356.2998,16481.59961,404200
2022-03-31,17464.75,17559.80078,17435.19922,17519.19922,281100
2022-04-30,17102.55078,17377.65039,17053.25,17329.25,336200
2022-05-31,16584.55078,16690.75,16521.90039,16578.44922,651600
2022-06-30,15780.25,15890,15728.84961,15774.5,306000
2022-07-31,17158.25,17172.80078,17018.15039,17079.5,436100
2022-08-31,17759.30078,17777.65039,17401.5,17414.94922,324700
2022-09-30,17094.34961,17187.09961,16747.69922,16798.05078,376100
2022-10-31,18012.19922,18022.80078,17899.90039,17910.19922,227200
2022-11-30,18758.34961,18816.05078,18616.55078,18625.69922,345600
2022-12-31,18105.30078,18265.25,18080.30078,18259.09961,192000
2023-01-31,17662.15039,17735.69922,17537.55078,17731.44922,398300
2023-02-28,17303.94922,17440.44922,17255.19922,17383.25,420900
2023-03-31,17359.75,17381.59961,17204.65039,17210.34961,263900
2023-04-30,18065,18089.15039,17885.30078,17950.40039,290300
2023-05-31,18534.40039,18603.90039,18483.84961,18594.19922,696500
2023-06-30,19189.05078,19201.69922,19024.59961,19076.84961,247900
2023-07-31,19753.80078,19772.75,19597.59961,19666.34961,295100
2023-08-31,19253.80078,19388.19922,19223.65039,19375.55078,562600
2023-09-30,19638.30078,19726.25,19551.05078,19581.19922,243500
2023-10-31,19079.59961,19233.69922,19056.44922,19232.94922,206000
2023-11-30,20133.15039,20158.69922,20015.84961,20108.5,486600
2023-12-31,21731.40039,21770.30078,21676.90039,21737.65039,270900
2024-01-31,21725.69922,21741.34961,21448.84961,21487.25,410600
2024-02-29,21982.80078,22060.55078,21860.65039,21935.19922,360200
2024-03-31,22326.90039,22516,22163.59961,22163.59961,410500
2024-04-30,22604.84961,22783.34961,22568.40039,22679.65039,361900
2024-05-31,22530.69922,22653.75,22465.09961,22568.09961,572100
2024-06-30,24010.59961,24174,23985.80078,24085.90039,354800
2024-07-31,24951.15039,24984.59961,24856.5,24886.69922,333600
2024-08-31,25235.90039,25268.34961,25199.40039,25249.69922,638200
2024-09-30,25810.84961,26134.69922,25794.09961,26061.30078,343100
2024-10-31,24205.34961,24372.44922,24172.59961,24349.84961,287000
2024-11-30,24131.09961,24188.44922,23927.15039,23927.15039,282100
2024-12-31,23644.80078,23689.84961,23460.44922,23560.59961,193600
