Index Name,Date,Close,P/E,P/B,cagr_curve,cagr_dev,fwd_1m,fwd_3m,fwd_6m,fwd_1y,fwd_2y,fwd_3y,fwd_4y,fwd_5y,Year
NIFTY MIDCAP 50,2011-04-08,2592.6,17.79,2.14,4220.2593949465445,-38.56775715956107,-5.317056236982176,-4.063488390033165,-20.69351230425056,-11.374681786623475,-24.919000231427912,-1.938208747975001,34.316901951708715,22.261436395896016,2011
NIFTY MIDCAP 50,2011-04-11,2559.4,17.61,2.12,4224.651186804674,-39.417483554759244,-2.9596780495428576,-3.459795264515131,-19.498710635305162,-11.061186215519259,-23.77901070563414,0.9299054465890411,39.07165741970775,25.853715714620606,2011
NIFTY MIDCAP 50,2011-04-13,2595.1,17.86,2.15,4227.5815868034215,-38.615022638457965,-3.7936881045046333,-4.864937767330735,-18.978074062656546,-12.194135100766823,-24.16091865438712,-1.56834033370582,37.15849100227353,27.29759932179878,2011
NIFTY MIDCAP 50,2011-04-15,2582.4,17.77,2.13,4230.514019453807,-38.95777231501981,-3.9323884758364347,-3.9130266418835213,-18.459572490706332,-11.316991945477072,-23.787949194547707,-1.0842627013630701,36.50867410161089,29.218943618339523,2011
NIFTY MIDCAP 50,2011-04-18,2546.2,17.6,2.11,4234.916482735705,-39.87602800716426,-4.066844709763561,-2.217029298562556,-18.53742832456209,-9.054669703872431,-19.754928913675272,2.1541905584793186,32.30500353467913,31.05608357552432,2011
NIFTY MIDCAP 50,2011-04-19,2551.5,17.63,2.11,4236.384988350207,-39.77176278793205,-4.850088183421519,-1.9223985890652662,-17.46227709190673,-9.220066627474033,-18.17166372721929,1.9419949049578777,32.03017832647461,31.5618263766412,2011
NIFTY MIDCAP 50,2011-04-20,2587.65,17.75,2.14,4237.854003185788,-38.939614294056724,-5.626726953026873,-4.7069735087821085,-19.623983150735224,-11.419627847661006,-19.31482232914035,0.5178443761714391,30.18568971847042,29.723880741213083,2011
NIFTY MIDCAP 50,2011-04-21,2590.8,17.68,2.14,4239.3235274190265,-38.88647603224272,-6.982399258916172,-5.7569090628377335,-20.32383819669601,-13.22178477690289,-19.41292264937472,0.3956306932221709,29.245792805311098,28.66103134167051,2011
NIFTY MIDCAP 50,2011-04-25,2605.95,17.77,2.15,4245.206721862257,-38.61429676487367,-7.617183752566248,-4.221109384293631,-20.829256125405315,-15.625779466221523,-19.95433527120628,-1.350755002973958,22.571423089468333,28.408066156296186,2011
NIFTY MIDCAP 50,2011-04-26,2612.15,17.79,2.15,4246.678795734597,-38.48957913596697,-8.033612158566694,-5.252378309055771,-20.207491912792143,-16.56298451467183,-21.11287636621174,-0.1378175066516052,22.28049690867675,29.642248722316843,2011
NIFTY MIDCAP 50,2011-04-27,2609.75,17.47,2.15,4248.151380065349,-38.567396344528234,-6.136603122904494,-5.086694127790015,-17.66452725356835,-16.909665676788975,-19.710700258645463,-0.0459814158444205,22.39294951623718,29.782546220902397,2011
